ID;Matériau;Dimension;Caractéristique;Précision;Qté;Unité;PR. FO;Type FO;K FO;PV FO;h MO;Type MO;K MO;PV MO;PV.U. total;Prix total;F1_nom;F1_prix;F1_ref;F1_source;F2_nom;F2_prix;F2_ref;F2_source;F3_nom;F3_prix;F3_ref;F3_source;Temps (h);"Temps (1""/h)"
Red.I4S.250;Inox 304L - Soudé;DN250;Réduction;273,0x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Red.I4S.300;Inox 304L - Soudé;DN300;Réduction;323,9x3;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Red.I4S.350;Inox 304L - Soudé;DN350;Réduction;355,6x3;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Red.I4S.400;Inox 304L - Soudé;DN400;Réduction;406,4x3;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Red.I4S.450;Inox 304L - Soudé;DN450;Réduction;457,2x3;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Red.I4S.500;Inox 304L - Soudé;DN500;Réduction;508,0x3;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Piq.I4S.15;Inox 304L - Soudé;DN15;Piquage;21,3x1,6;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Piq.I4S.20;Inox 304L - Soudé;DN20;Piquage;26,9x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Piq.I4S.25;Inox 304L - Soudé;DN25;Piquage;33,7x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Piq.I4S.32;Inox 304L - Soudé;DN32;Piquage;42,4x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Piq.I4S.40;Inox 304L - Soudé;DN40;Piquage;48,3x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Piq.I4S.50;Inox 304L - Soudé;DN50;Piquage;60,3x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Piq.I4S.65;Inox 304L - Soudé;DN65;Piquage;76,1x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Piq.I4S.80;Inox 304L - Soudé;DN80;Piquage;88,9x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Piq.I4S.100;Inox 304L - Soudé;DN100;Piquage;114,3x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Piq.I4S.125;Inox 304L - Soudé;DN125;Piquage;139,7x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Piq.I4S.150;Inox 304L - Soudé;DN150;Piquage;168,3x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Piq.I4S.200;Inox 304L - Soudé;DN200;Piquage;219,1x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Piq.I4S.250;Inox 304L - Soudé;DN250;Piquage;273,0x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Piq.I4S.300;Inox 304L - Soudé;DN300;Piquage;323,9x3;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Piq.I4S.350;Inox 304L - Soudé;DN350;Piquage;355,6x3;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Piq.I4S.400;Inox 304L - Soudé;DN400;Piquage;406,4x3;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Piq.I4S.450;Inox 304L - Soudé;DN450;Piquage;457,2x3;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Piq.I4S.500;Inox 304L - Soudé;DN500;Piquage;508,0x3;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fil.I4S.15;Inox 304L - Soudé;DN15;Filtre à tamis;21,3x1,6;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Fil.I4S.20;Inox 304L - Soudé;DN20;Filtre à tamis;26,9x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Fil.I4S.25;Inox 304L - Soudé;DN25;Filtre à tamis;33,7x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Fil.I4S.32;Inox 304L - Soudé;DN32;Filtre à tamis;42,4x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Fil.I4S.40;Inox 304L - Soudé;DN40;Filtre à tamis;48,3x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Fil.I4S.50;Inox 304L - Soudé;DN50;Filtre à tamis;60,3x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Fil.I4S.65;Inox 304L - Soudé;DN65;Filtre à tamis;76,1x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Fil.I4S.80;Inox 304L - Soudé;DN80;Filtre à tamis;88,9x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Fil.I4S.100;Inox 304L - Soudé;DN100;Filtre à tamis;114,3x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Fil.I4S.125;Inox 304L - Soudé;DN125;Filtre à tamis;139,7x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Fil.I4S.150;Inox 304L - Soudé;DN150;Filtre à tamis;168,3x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Fil.I4S.200;Inox 304L - Soudé;DN200;Filtre à tamis;219,1x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Fil.I4S.250;Inox 304L - Soudé;DN250;Filtre à tamis;273,0x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Fil.I4S.300;Inox 304L - Soudé;DN300;Filtre à tamis;323,9x3;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Fil.I4S.350;Inox 304L - Soudé;DN350;Filtre à tamis;355,6x3;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Fil.I4S.400;Inox 304L - Soudé;DN400;Filtre à tamis;406,4x3;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Fil.I4S.450;Inox 304L - Soudé;DN450;Filtre à tamis;457,2x3;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Fil.I4S.500;Inox 304L - Soudé;DN500;Filtre à tamis;508,0x3;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Var.I4S.15;Inox 304L - Soudé;DN15;Vanne d'arrêt;21,3x1,6;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Var.I4S.20;Inox 304L - Soudé;DN20;Vanne d'arrêt;26,9x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Var.I4S.25;Inox 304L - Soudé;DN25;Vanne d'arrêt;33,7x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Var.I4S.32;Inox 304L - Soudé;DN32;Vanne d'arrêt;42,4x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Var.I4S.40;Inox 304L - Soudé;DN40;Vanne d'arrêt;48,3x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Var.I4S.50;Inox 304L - Soudé;DN50;Vanne d'arrêt;60,3x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Var.I4S.65;Inox 304L - Soudé;DN65;Vanne d'arrêt;76,1x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Var.I4S.80;Inox 304L - Soudé;DN80;Vanne d'arrêt;88,9x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Var.I4S.100;Inox 304L - Soudé;DN100;Vanne d'arrêt;114,3x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Var.I4S.125;Inox 304L - Soudé;DN125;Vanne d'arrêt;139,7x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Var.I4S.150;Inox 304L - Soudé;DN150;Vanne d'arrêt;168,3x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
